,Order ID,group
0,141275,"USB-C Charging Cable,Wired Headphones"
1,141290,"Apple Airpods Headphones,AA Batteries (4-pack)"
2,141365,"Vareebadd Phone,Wired Headphones"
3,141384,"Google Phone,USB-C Charging Cable"
4,141450,"Google Phone,Bose SoundSport Headphones"
5,141457,"iPhone,Apple Airpods Headphones"
6,141478,"Google Phone,Apple Airpods Headphones"
7,141550,"iPhone,Apple Airpods Headphones,Wired Headphones"
8,141587,"USB-C Charging Cable,Apple Airpods Headphones"
9,141645,"Lightning Charging Cable,Wired Headphones"
10,141738,"iPhone,Lightning Charging Cable"
11,141782,"27in FHD Monitor,Bose SoundSport Headphones"
12,141789,"Google Phone,USB-C Charging Cable"
13,141795,"iPhone,Wired Headphones"
14,141809,"Google Phone,USB-C Charging Cable"
15,141843,"AA Batteries (4-pack),AAA Batteries (4-pack)"
16,141900,"Vareebadd Phone,USB-C Charging Cable,Wired Headphones"
17,141901,"Google Phone,USB-C Charging Cable"
18,141910,"Vareebadd Phone,Wired Headphones"
19,141939,"34in Ultrawide Monitor,Lightning Charging Cable"
20,141946,"USB-C Charging Cable,Wired Headphones"
21,141947,"Lightning Charging Cable,Bose SoundSport Headphones"
22,141965,"Google Phone,Wired Headphones"
23,141967,"iPhone,Wired Headphones"
24,141970,"Apple Airpods Headphones,Lightning Charging Cable"
25,141972,"Google Phone,iPhone"
26,141993,"iPhone,Wired Headphones"
27,142010,"iPhone,Lightning Charging Cable"
28,142023,"20in Monitor,Wired Headphones"
29,142037,"iPhone,Apple Airpods Headphones"
30,142039,"Google Phone,USB-C Charging Cable"
31,142048,"Google Phone,Wired Headphones"
32,142071,"AA Batteries (4-pack),AA Batteries (4-pack)"
33,142085,"iPhone,Lightning Charging Cable"
34,142112,"20in Monitor,Bose SoundSport Headphones"
35,142128,"Google Phone,Bose SoundSport Headphones,Wired Headphones"
36,142144,"Vareebadd Phone,USB-C Charging Cable"
37,142145,"Apple Airpods Headphones,USB-C Charging Cable"
38,142192,"Google Phone,USB-C Charging Cable"
39,142230,"Google Phone,USB-C Charging Cable"
40,142261,"iPhone,Wired Headphones"
41,142287,"Google Phone,USB-C Charging Cable,Wired Headphones"
42,142299,"iPhone,Wired Headphones"
43,142308,"Google Phone,Wired Headphones"
44,142319,"Bose SoundSport Headphones,Google Phone"
45,142320,"Google Phone,iPhone"
46,142350,"iPhone,Wired Headphones"
47,142379,"Google Phone,USB-C Charging Cable"
48,142389,"iPhone,Lightning Charging Cable"
49,142396,"Vareebadd Phone,USB-C Charging Cable"
50,142419,"Google Phone,Wired Headphones"
51,142453,"Vareebadd Phone,Bose SoundSport Headphones"
52,142504,"Google Phone,USB-C Charging Cable"
53,142569,"iPhone,Lightning Charging Cable"
54,142570,"AAA Batteries (4-pack),AA Batteries (4-pack)"
55,142587,"iPhone,Lightning Charging Cable"
56,142604,"Apple Airpods Headphones,AAA Batteries (4-pack)"
57,142610,"Apple Airpods Headphones,iPhone"
58,142634,"Google Phone,USB-C Charging Cable"
59,142639,"AAA Batteries (4-pack),27in 4K Gaming Monitor"
60,142651,"USB-C Charging Cable,AA Batteries (4-pack)"
61,142652,"USB-C Charging Cable,Lightning Charging Cable"
62,142683,"USB-C Charging Cable,Wired Headphones"
63,142727,"Macbook Pro Laptop,AA Batteries (4-pack)"
64,142730,"Google Phone,USB-C Charging Cable"
65,142790,"Bose SoundSport Headphones,Macbook Pro Laptop"
66,142812,"iPhone,Lightning Charging Cable"
67,142824,"Google Phone,Wired Headphones"
68,142835,"iPhone,Wired Headphones"
69,142837,"iPhone,Wired Headphones"
70,142873,"34in Ultrawide Monitor,Wired Headphones"
71,142925,"iPhone,Lightning Charging Cable"
72,142965,"Google Phone,USB-C Charging Cable"
73,142989,"Vareebadd Phone,USB-C Charging Cable"
74,142997,"iPhone,Wired Headphones"
75,143006,"Google Phone,Bose SoundSport Headphones,Wired Headphones"
76,143021,"iPhone,Lightning Charging Cable,Apple Airpods Headphones"
77,143040,"iPhone,Lightning Charging Cable"
78,143060,"Wired Headphones,AA Batteries (4-pack)"
79,143062,"20in Monitor,USB-C Charging Cable"
80,143065,"Lightning Charging Cable,Apple Airpods Headphones"
81,143067,"iPhone,Wired Headphones"
82,143068,"Bose SoundSport Headphones,Apple Airpods Headphones"
83,143074,"Google Phone,USB-C Charging Cable"
